xpos="618.5554" ypos="65.18277" zpos="287.9042"
xpos="428.7246" ypos="107.5089" zpos="195.6027"
xpos="437.0235" ypos="249.3334" zpos="-66.50742"
xpos="607.0494" ypos="318.1678" zpos="-125.9409"
xpos="623.6542" ypos="304.6912" zpos="-284.0557"
xpos="444.1981" ypos="303.784" zpos="-216.4039"
xpos="154.0407" ypos="303.2165" zpos="-94.62056"
xpos="58.18653" ypos="215.5486" zpos="-208.9541"
xpos="-17.91308" ypos="294.9659" zpos="-400.0641"
xpos="88.1479" ypos="319.9511" zpos="-301.8226"
xpos="59.68111" ypos="298.6521" zpos="-466.8189"
xpos="-156.662" ypos="272.5197" zpos="-536.072"
xpos="-553.841" ypos="216.1759" zpos="-406.7163"
xpos="-628.689" ypos="257.9701" zpos="-446.285"
xpos="-927.1788" ypos="209.4155" zpos="54.15804"
xpos="-896.808" ypos="0.6747757" zpos="225.1443"
xpos="-803.2694" ypos="210.3499" zpos="-47.69251"
xpos="-867.0551" ypos="210.9912" zpos="-91.39256"
xpos="-350.0793" ypos="285.9626" zpos="-270.543"
xpos="-347.598" ypos="236.638" zpos="-226.841"
xpos="259.5986" ypos="1.245731" zpos="546.2527"
xpos="14.65469" ypos="74.55651" zpos="518.7729"
xpos="-222.333" ypos="138.2336" zpos="187.704"
xpos="409.1492" ypos="325.6623" zpos="-121.5852"
xpos="775.0269" ypos="321.4688" zpos="88.64922"
xpos="857.8266" ypos="335.3756" zpos="219.4324"
xpos="753.9858" ypos="303.0769" zpos="-120.3565"
xpos="898.2329" ypos="408.6802" zpos="-238.421"
xpos="1025.197" ypos="387.9265" zpos="-223.7189"
xpos="812.5102" ypos="324.866" zpos="-413.0206"
