xpos="496.0044" ypos="214.1623" zpos="-64.28874"
xpos="228.7737" ypos="333.8025" zpos="-142.2666"
xpos="58.61142" ypos="303.047" zpos="-356.2352"
xpos="-74.17027" ypos="295.4319" zpos="-275.3116"
xpos="-487.1214" ypos="208.2228" zpos="-298.558"
xpos="-553.9041" ypos="216.1586" zpos="-406.845"
xpos="-78.80885" ypos="292.6051" zpos="-562.8615"
xpos="542.2307" ypos="387.5164" zpos="-604.3493"
xpos="641.3657" ypos="376.7531" zpos="-533.3108"
xpos="743.3741" ypos="360.0824" zpos="-557.5311"
xpos="645.5532" ypos="314.6003" zpos="-205.0132"
xpos="469.4281" ypos="386.552" zpos="-382.8615"
xpos="545.2537" ypos="317.1098" zpos="-197.1386"
xpos="857.2628" ypos="369.2288" zpos="-203.5395"
xpos="897.356" ypos="331.5709" zpos="178.9508"
xpos="1006.935" ypos="358.8349" zpos="128.875"
xpos="712.906" ypos="91.35647" zpos="237.014"
xpos="668.7259" ypos="75.64248" zpos="375.7673"
xpos="166.372" ypos="144.5999" zpos="343.5214"
xpos="389.7367" ypos="147.3639" zpos="256.5956"
xpos="440.2921" ypos="107.4906" zpos="201.8882"
xpos="57.79585" ypos="215.5482" zpos="-209.7351"
xpos="-926.9049" ypos="209.4359" zpos="53.86986"
xpos="-761.4589" ypos="213.428" zpos="-130.6647"
xpos="-667.3738" ypos="172.957" zpos="-41.7231"
xpos="-401.1218" ypos="91.61251" zpos="343.449"
xpos="-437.9514" ypos="211.2679" zpos="277.2443"
xpos="-94.85224" ypos="148.9699" zpos="13.29777"
xpos="-8.86057" ypos="5.653418" zpos="231.9459"
xpos="-5.827579" ypos="149.276" zpos="306.7421"
xpos="14.11964" ypos="74.55433" zpos="518.4288"
xpos="-67.14098" ypos="3.74851" zpos="542.9146"
xpos="-611.8347" ypos="2.618841" zpos="450.123"
