xpos="617.563" ypos="5.220284" zpos="480.5098"
xpos="440.5705" ypos="107.4246" zpos="202.4464"
xpos="359.2482" ypos="231.9712" zpos="-115.3759"
xpos="558.9212" ypos="303.1486" zpos="-320.3595"
xpos="277.745" ypos="316.456" zpos="-513.6612"
xpos="542.6293" ypos="387.5257" zpos="-604.1279"
xpos="791.9978" ypos="324.8241" zpos="-315.0481"
xpos="736.958" ypos="296.763" zpos="-244.758"
xpos="-201.8986" ypos="203.5266" zpos="-344.0528"
xpos="59.18102" ypos="298.5787" zpos="-466.3637"
xpos="-61.56008" ypos="330.2501" zpos="-595.4542"
xpos="-880.4858" ypos="260.7666" zpos="-267.1508"
xpos="-391.6268" ypos="7.508819" zpos="34.9431"
xpos="-666.8076" ypos="173.0536" zpos="-41.36765"
xpos="-867.234" ypos="210.9751" zpos="-91.19444"
xpos="-691.0595" ypos="225.0519" zpos="-218.709"
xpos="-644.6625" ypos="210.9795" zpos="-259.6032"
xpos="-449.5623" ypos="206.0975" zpos="-286.771"
xpos="-414.3272" ypos="204.8866" zpos="-275.0532"
xpos="-44.78473" ypos="0.9687048" zpos="194.1438"
xpos="196.4029" ypos="153.9561" zpos="407.612"
xpos="459.9495" ypos="69.55073" zpos="549.2581"
xpos="-67.38628" ypos="3.554592" zpos="543.5181"
xpos="-187.6802" ypos="79.69862" zpos="432.4296"
xpos="-776.4008" ypos="1.027277" zpos="547.0208"
xpos="-222.4736" ypos="138.2246" zpos="187.7647"
xpos="60.68192" ypos="192.2418" zpos="106.3031"
xpos="62.46222" ypos="157.8127" zpos="0.909636"
xpos="857.5082" ypos="335.3763" zpos="219.3123"
xpos="932.7749" ypos="329.7702" zpos="141.0781"
xpos="763.1665" ypos="307.1323" zpos="-98.71478"
xpos="889.5527" ypos="343.2151" zpos="-146.8076"
