xpos="262.8828" ypos="4.572718" zpos="608.98"
xpos="338.4763" ypos="40.29563" zpos="470.1654"
xpos="338.4763" ypos="40.29563" zpos="470.1654"
xpos="272.5282" ypos="45.34069" zpos="371.1086"
xpos="94.35793" ypos="5.203621" zpos="-134.7956"
xpos="-273.6141" ypos="29.16128" zpos="-154.7786"
xpos="-184.0131" ypos="28.09105" zpos="-264.9159"
xpos="-175.6228" ypos="38.16525" zpos="-503.9586"
xpos="-162.363" ypos="119.91" zpos="-603.9478"
xpos="550.5768" ypos="8.674093" zpos="370.4061"
xpos="623.191" ypos="8.187161" zpos="81.75766"
xpos="623.191" ypos="8.187161" zpos="81.75766"
xpos="714.9905" ypos="0.2313729" zpos="-556.267"
xpos="439.0427" ypos="1.098775" zpos="-683.5535"
xpos="456.2464" ypos="0.9005923" zpos="-628.9621"
xpos="242.9555" ypos="6.200012" zpos="-618.8562"
xpos="-25.69113" ypos="34.607" zpos="-743.2992"
xpos="-374.3398" ypos="36.31269" zpos="-689.4102"
xpos="-714.6403" ypos="51.09864" zpos="-339.8282"
xpos="-700.2091" ypos="87.38142" zpos="35.86032"
xpos="-443.4953" ypos="49.54383" zpos="-61.19226"
xpos="-433.0056" ypos="47.49926" zpos="730.8275"
xpos="-693.0496" ypos="74.728" zpos="726.6133"
xpos="-210.9376" ypos="104.1469" zpos="395.9901"
xpos="491.9611" ypos="12.25188" zpos="-76.0122"
xpos="272.9397" ypos="2.172178" zpos="189.2538"
xpos="603.1785" ypos="1.275626" zpos="-614.4027"
xpos="-711.33" ypos="9.934545" zpos="-752.7451"
xpos="-420.4444" ypos="72.26727" zpos="-198.8949"
